data_publicacao,diario,secao,subsecao1,subsecao2,subsecao3,subsecao4,subsecao5,nome_materia,materia
18/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",ASSESSORIA DE COMUNICAÇÃO SOCIAL DO ESTADO (ASSECOM),DEPARTAMENTO ESTADUAL DE IMPRENSA (DEI),DEI ASSEJUR,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
18/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",CONSELHO DE DESENVOLVIMENTO DO ESTADO (CDE),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
18/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",CONSULTORIA GERAL DO ESTADO (CGE),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
18/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",CONTROLADORIA GERAL DO ESTADO (CONTROL),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
18/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",DEFENSORIA PÚBLICA DO ESTADO (DPE),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
18/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",GABINETE CIVIL DO GOVERNADOR DO ESTADO,CONSELHO ESTADUAL DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
18/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",GABINETE DO VICE-GOVERNADOR,,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
18/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",PROCURADORIA GERAL DO ESTADO (PGE),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
18/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",SECRETARIA DA INFRA-ESTRUTURA,,,,"EXTRATO DO CONVÊNIO Nº 010/2019 – SIN CONVÊNIO QUE ENTRE SI CELEBRAM O ESTADO DO RIO GRANDE DO NORTE, REPRESENTADO PELA SECRETARIA DE ESTADO DA INFRAESTRUTURA (SIN) E O MUNICÍPIO DE ÁGUA NOVA/RN. Processo Administrativo n°. 02210140.000457/2019-51 – SIN. DO OBJETO: O presente convênio tem por objeto a colaboração de Recursos Financeiros da CONCEDENTE à CONVENENTE, com o fim de somar esforços para realização dos serviços de CONSTRUÇÃO DE DRENAGEM SUPERFICIAL COM PAVIMENTAÇÃO EM PARALELEPÍPEDOS DO TRECHO DA RUA PRINCIPAL DO SÍTIO AREIAS, localizada na zona rural do município, conforme especificações nos Projetos e no Plano de Trabalho, que integram o presente instrumento para todos os seus jurídicos e legais efeitos. DOS SERVIÇOS: As obras referidas na cláusula primeira estão consignadas nas Planilhas de Orçamento, como também nos Projetos e Especificações correspondentes, os quais fazem parte deste instrumento, independente de transcrição. DO VALOR GLOBAL: O valor global do presente convênio é de R$ 90.189,05 (noventa mil, cento e oitenta e nove reais e cinco centavos), sendo R$ 80.000,00 (oitenta mil reais) referente à participação financeira da CONCEDENTE, e o valor de R$ 10.189,05 (dez mil, cento e oitenta e nove reais e cinco centavos), equivalente à contrapartida do CONVENENTE, destinados à execução total das obras constantes no objeto deste instrumento. DA VIGÊNCIA E EFICÁCIA: O presente Convênio tem vigência inicial a partir da assinatura do presente instrumento contratual e término em 31 de dezembro de 2020, podendo ser prorrogado, de comum acordo, conforme a Lei 8666/93 e suas alterações e/ou de “De Ofício”, conforme a Instrução Normativa STM/MF nº 01 de 15 de janeiro de 1997, DOU de 31-01-1997 – Capítulo II – Da Formalização, Artigo 7º, Inciso IV, e terá eficácia após publicação pela CONCEDENTE, por extrato, no Diário Oficial do Estado e registro na Controladoria Geral do Estado. Natal/RN, 17 de outubro de 2019. GUSTAVO FERNANDES ROSADO COÊLHO Secretário de Estado da Infraestrutura FRANCISCO RONALDO DE SOUZA Prefeito Municipal de Água Nova",http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191018&id_doc=662659
18/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",SECRETARIA DA INFRA-ESTRUTURA,DEPARTAMENTO ESTADUAL DE ESTRADAS E RODAGENS (DER),,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
18/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",SECRETARIA DA INFRA-ESTRUTURA,DEPARTAMENTO ESTADUAL DE TRÂNSITO (DETRAN),,,TERMO DE INEXIGIBILIDADE DE LICITAÇÃO - WELLITON F S EIRELI - 02910028.004175-2019-31,http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191018&id_doc=662655
18/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",SECRETARIA DA JUSTIÇA E DA CIDADANIA,CONSELHO ESTADUAL DE DIREITOS HUMANOS E CIDADANIA (COEDHUCI),,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
