data_publicacao,diario,secao,subsecao1,subsecao2,subsecao3,subsecao4,subsecao5,nome_materia,materia
16/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",ASSESSORIA DE COMUNICAÇÃO SOCIAL DO ESTADO (ASSECOM),DEPARTAMENTO ESTADUAL DE IMPRENSA (DEI),,,DEPARTAMENTO ESTADUAL DE IMPRENSA - TERMO ADITIVO - COBEL - Republicação.doc,http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191016&id_doc=662398
16/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",ASSESSORIA DE COMUNICAÇÃO SOCIAL DO ESTADO (ASSECOM),DEPARTAMENTO ESTADUAL DE IMPRENSA (DEI),DEI ASSEJUR,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
16/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",CONSELHO DE DESENVOLVIMENTO DO ESTADO (CDE),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
16/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",CONSULTORIA GERAL DO ESTADO (CGE),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
16/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",CONTROLADORIA GERAL DO ESTADO (CONTROL),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
16/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",DEFENSORIA PÚBLICA DO ESTADO (DPE),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
16/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",GABINETE CIVIL DO GOVERNADOR DO ESTADO,CONSELHO ESTADUAL DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
16/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",GABINETE DO VICE-GOVERNADOR,,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
16/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",PROCURADORIA GERAL DO ESTADO (PGE),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
16/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",SECRETARIA DA INFRA-ESTRUTURA,,,,"EXTRATO DO PRIMEIRO TERMO ADITIVO AO CONVÊNIO Nº 018/2014 – SIN PRIMEIRO TERMO ADITIVO AO CONVÊNIO QUE ENTRE SI CELEBRAM O ESTADO DO RIO GRANDE DO NORTE, REPRESENTADO PELA SECRETARIA DE ESTADO DA INFRAESTRUTURA (SIN) E O MUNICÍPIO DE SÃO JOSÉ DE MIPIBÚ/RN. Processo Administrativo n°. 078916/2014-9 – SIN. DO OBJETO: O presente termo aditivo tem por objeto a alteração do projeto inicialmente proposto pelo CONVENENTE, em razão de melhorias acrescidas à consecução do objeto do convênio, conforme especificações nos projetos e no plano de trabalho que integram o presente instrumento para todos os seus jurídicos e legais efeitos. DOS REFLEXOS FINANCEIROS: As alterações propostas pela CONVENENTE serão custeadas com a utilização do saldo do valor do convênio em relação ao valor do contrato celebrado pelo ente municipal, no valor de R$ 1.948,34 (mil, novecentos e quarenta e oito reais e trinta e quatro centavos), assim como com o rendimento obtido com a aplicação financeira, no valor de R$ 40.925,18 (quarenta mil, novecentos e vinte e cinco reais e dezoito centavos), majorando o valor global do convênio para R$ 1.258.592,58 (um milhão, duzentos e cinquenta e oito mil, quinhentos e noventa e dois reais e cinquenta e oito centavos). DA RATIFICAÇÃO: Ficam mantidas e ratificadas as demais cláusulas e condições até então pactuadas que não conflitarem com o presente instrumento complementar. DA VIGÊNCIA E EFICÁCIA: O presente Termo Aditivo terá vigência a partir de sua assinatura e eficácia com a publicação no Diário Oficial do Estado. Natal/RN, 11 de outubro de 2019. GUSTAVO FERNANDES ROSADO COÊLHO Secretário de Estado da Infraestrutura ARLINDO DUARTE DANTAS Prefeito Municipal de São José de Mipibú/RN",http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191016&id_doc=662343
