data_publicacao,diario,secao,subsecao1,subsecao2,subsecao3,subsecao4,subsecao5,nome_materia,materia
09/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",ASSESSORIA DE COMUNICAÇÃO SOCIAL DO ESTADO (ASSECOM),DEPARTAMENTO ESTADUAL DE IMPRENSA (DEI),,,DEI - EXTRATO 1º TERMO DE ADITIVO (JMT - 3 MOTORISTAS 2019).doc,http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191010&id_doc=661668
09/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",ASSESSORIA DE COMUNICAÇÃO SOCIAL DO ESTADO (ASSECOM),DEPARTAMENTO ESTADUAL DE IMPRENSA (DEI),,,DEI - EXTRATO 1º TERMO DE ADITIVO (COBEL 2019),http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191010&id_doc=661669
09/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",ASSESSORIA DE COMUNICAÇÃO SOCIAL DO ESTADO (ASSECOM),DEPARTAMENTO ESTADUAL DE IMPRENSA (DEI),DEI ASSEJUR,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
09/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",CONSELHO DE DESENVOLVIMENTO DO ESTADO (CDE),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
09/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",CONSULTORIA GERAL DO ESTADO (CGE),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
09/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",CONTROLADORIA GERAL DO ESTADO (CONTROL),,,,RESUMO 3º Termo Aditivo Prorrogação,http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191010&id_doc=661555
09/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",DEFENSORIA PÚBLICA DO ESTADO (DPE),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
09/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",GABINETE CIVIL DO GOVERNADOR DO ESTADO,CONSELHO ESTADUAL DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
09/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",GABINETE DO VICE-GOVERNADOR,,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
09/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",PROCURADORIA GERAL DO ESTADO (PGE),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
09/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",SECRETARIA DA INFRA-ESTRUTURA,,,,"AVISO RESULTADO DA LICITAÇÃO LICITAÇÃO TOMADA DE PREÇOS Nº 012/2019-SIN PROCESSO: Nº 00310020.000755/2019-81 TIPO: DO TIPO MENOR PREÇO, EM REGIME DE EMPREITADA POR PREÇO UNITÁRIO. OBJETO: REFORMA NA COBERTURA E CAIXA DE ÁGUA DA SECRETARIA DE TRIBUTAÇÃO DO ESTADO DO RIO GRANDE DO NORTE - SET - CENTRO ADMINISTRATIVO A Comissão Permanente de Licitação – CPL/SIN, no uso de suas atribuições, torna público, a quem interessar, que a licitante HB ENGENHARIA LTDA - EPP, foi “HABILITADA” e “CLASSIFICADA”, com o valor total de R$ 206.988,80 (duzentos e seis mil, novecentos e oitenta e oito reais e oitenta centavos), por cumprir as exigências do Edital. Natal/RN, 09 de outubro de 2019. MÁRCIO FERREIRA DO NASCIMENTO PRESIDENTE DA CPL/SIN",http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191010&id_doc=661653
