data_publicacao,diario,secao,subsecao1,subsecao2,subsecao3,subsecao4,subsecao5,nome_materia,materia
28/09/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",ASSESSORIA DE COMUNICAÇÃO SOCIAL DO ESTADO (ASSECOM),DEPARTAMENTO ESTADUAL DE IMPRENSA (DEI),,,DEI - EXTRATO DISPENSA DE LICITAÇÃO (TECPEL).doc,http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20190928&id_doc=660593
28/09/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",ASSESSORIA DE COMUNICAÇÃO SOCIAL DO ESTADO (ASSECOM),DEPARTAMENTO ESTADUAL DE IMPRENSA (DEI),DEI ASSEJUR,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
28/09/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",CONSELHO DE DESENVOLVIMENTO DO ESTADO (CDE),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
28/09/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",CONSULTORIA GERAL DO ESTADO (CGE),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
28/09/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",CONTROLADORIA GERAL DO ESTADO (CONTROL),,,,RESUMO DO 3º TA (Locação de veículos - Prorrogação ao contrato),http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20190928&id_doc=660598
28/09/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",DEFENSORIA PÚBLICA DO ESTADO (DPE),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
28/09/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",GABINETE CIVIL DO GOVERNADOR DO ESTADO,CONSELHO ESTADUAL DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
28/09/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",GABINETE DO VICE-GOVERNADOR,,,,Termo de Dispensa 05/2019 - GVG,http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20190928&id_doc=660600
28/09/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",PROCURADORIA GERAL DO ESTADO (PGE),,,,Não Possui,Nenhuma matéria encontrada nessa data para essa seção.
28/09/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",SECRETARIA DA INFRA-ESTRUTURA,,,,"EXTRATO DO DÉCIMO QUARTO TERMO ADITIVO AO CONTRATO N° 086/2010-SIN DÉCIMO QUARTO TERMO ADITIVO AO CONTRATO DE OBRA, EM REGIME DE EMPREITADA POR PREÇO UNITÁRIO, COM FORNECIMENTO DE MATERIAIS, QUE ENTRE SI CELEBRAM O ESTADO DO RIO GRANDE DO NORTE, ATRAVÉS DA SECRETARIA DE ESTADO DA EDUCAÇÃO, DA CULTURA /SEEC, COM INTERVENIÊNCIA DA SECRETARIA DE ESTADO DA INFRAESTRUTURA/SIN, E A EMPRESA B M B - CONSTRUÇÕES LTDA PARA EXECUÇÃO DAS OBRAS DO LOTE Nº 44 - CONSTRUÇÃO DE 02 (DOIS) CENTROS ESTADUAIS DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA, EM NATAL/RN. Processo Administrativo nº. 02210140.000292/2019-18 – SIN. DO OBJETO: O presente termo aditivo tem por objeto a prorrogação dos prazos de vigência do contrato e execução dos serviços para a obra do Centro Estadual de Educação Profissional e Tecnológica, localizado no bairro de Parque dos Coqueiros em Natal/RN, por mais 60 (sessenta) dias, conforme justificativa técnica e cronograma de execução que integram o presente instrumento, contados a partir do dia subsequente ao término dos prazos de vigência e execução anteriores. Assim, tanto para a vigência contratual quanto para execução dos serviços o prazo será contado do dia 14.09.2019 até o dia 12.11.2019. DA RATIFICAÇÃO: Ficam mantidas e ratificadas as demais cláusulas e condições até então pactuadas que não conflitarem com o presente instrumento complementar. DA VIGÊNCIA E EFICÁCIA: O presente Termo Aditivo terá vigência a partir de sua assinatura, e eficácia sujeita à publicação no Diário Oficial do Estado. Natal/RN, 13 de setembro de 2019. GETÚLIO MARQUES FERREIRA Secretário de Estado da Educação e da Cultura – SEEC/RN GUSTAVO FERNANDES ROSADO COÊLHO Secretário de Estado da Infraestrutura – SIN/RN ALUISIO BEZERRA NETO B M B - CONSTRUÇÕES LTDA",http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20190928&id_doc=660560
